College _Name,,State,Year of Inception,"R1 Closing Rank
2022","Total 
Seat Alloted in R1","R2 Closing Rank
2022","Total 
Seat Alloted in R2","R3 Closing Rank
2022","Total 
Seat Alloted in R3"
"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",,Andhra Pradesh,2006,14470,11,17786,11,21309,3
"KANYAKUMARI GOVT. MED. COLL.,ASARIPALLAM",,Tamil Nadu,2003,10842,9,15336,8,20272,3
"BIDAR INSTITUTE OF MEDICAL SCI.,  BIDAR",,Karnataka,2007,12545,8,15397,8,19546,1
"ESIC Medical College, Gulbarga",,Karnataka,2013,10047,9,13720,9,18792,7
"Rani Durgavati Medical College, Banda",,Uttar Pradesh,2016,10578,7,12629,7,16954,3
"Gmc, Bahraich",,Uttar Pradesh,2019,10944,6,13915,6,18379,4
"MRA MEDICAL COLLEGE AMBEDKAR NAGAR, UP",,Uttar Pradesh,2011,8256,6,10944,6,16317,4
"GMC, Shahjhanpur",,Uttar Pradesh,2019,9264,4,12007,4,15833,2
Govt Medical College Basti,,Uttar Pradesh,2019,10795,6,13035,6,17906,4
"Rajkiya Medical College, Jalaun",,Uttar Pradesh,2013,10273,6,12315,6,--,--
"C. Institute of Medical Sciences, Chamarajanagar",,Karnataka,2016,15217,9,18028,9,21712,6
"Govt. Medical College and Hospital, Chandrapur",,Maharashtra,2015,13409,7,15244,7,20494,4
"Government Medcial College, Gondia",,Maharashtra,2016,13643,8,15585,8,20770,6
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP",,Chhattisgarh,2001,8970,10,12413,10,18964,7
Rajiv Gandhi Institute Medical Sce of Adilabad,,Telangana,2008,13514,6,15640,6,20781,4
Veer Chandra Singh Garhwali SRINAGAR - PAURI GARHWAL,,Uttarakhand,2008,9353,8,12497,7,16701,5
"Kodagu Institute of Medical Sciences, Kodagu",,Karnataka,2016,13906,10,17414,10,21486,5
Koppal Institute of Medical Sciences,,Karnataka,2015,14494,8,17036,8,21328,3
"Shri Atal Bihari Vajpayee Government Medical College, Faridabad",,Haryana,2022,9381,5,12635,5,18374,4
"Lt. B R K Government Medical College, Jagdalpur",,Chhattisgarh,2006,11965,6,15760,6,20240,3
"Government Medical College, Rajnandgaon",,Chhattisgarh,2014,12546,8,15694,8,20208,4
"Govt Medical College, Palakkad",,Kerala,2014,7695,6,13030,6,18634,2
"Thiruvannamalai MC, Thiruvannamalai, TN",,Tamil Nadu,2013,12755,6,17390,6,21672,3
Govt. Medical College Karur,,Tamil Nadu,2019,14726,7,17785,7,22158,5
Govt. Sivgangai M. C. Sivagangai,,Tamil Nadu,2012,14471,6,18108,6,22056,2
"Karwar Institute of Medical Sciences, Karwar",,Karnataka,2016,13066,7,17028,7,21288,4
"Lt. L A M Govt. Medical College, Raigarh",,Chhattisgarh,2013,10290,4,13886,4,19892,4
Autonomous State Medical college Society Hardoi,,Uttar Pradesh,2021,11377,7,14620,7,18813,4
"MAHARSHI DEVRAHA BABA AUTONOMOUS STATE. MEDICAL COLLEGE, DEORIA",,Uttar Pradesh,2021,11259,5,14678,5,16690,3
"Autonomous State Medical College, Pratapgarh",,Uttar Pradesh,2021,11949,6,14550,6,18814,3
"Autonomous State Medical College, Siddharthnagar",,Uttar Pradesh,2021,12418,6,15130,6,18501,3
"Autonomous State Medical College, Ghazipur",,Uttar Pradesh,2021,12652,6,15434,5,19121,4
"GTMC, THIRUVARUR",,Tamil Nadu,2010,12094,5,17399,5,21926,4
"IRT Perundurai Medical College, Perundurai",,Tamil Nadu,1992,12303,6,16423,6,20847,2
"Tezpur Medical College, Tezpur",,Assam,2014,15253,8,18283,6,21796,3
"Mursidabad M C & Hospital, Mursidabad",,West Bengal,2012,12115,8,14930,7,19858,2
"MALDA MED. COLLEGE, MALDA",,West Bengal,2011,11644,5,14244,5,19795,2
Andaman and Nicobar Islands Institute of Medical S,,Andaman & Nicobar,2015,11066,5,16199,5,21803,5
"NAMO Medical Education and Research Institute, Silvassa",,Dadra and Nagar Haveli,2019,10472,8,12121,8,15836,4
"Soban Singh Jeena Government Institute of Medical Science & Research, Almora",,Uttarakhand,2021,11094,6,13136,6,18114,6
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA",,Karnataka,2021,15040,4,17143,4,21511,4
"Autonomous State Medical College ,Etah",,Uttar Pradesh,2021,10525,5,13108,5,17641,4
"Autonomous State Medical College , Fatehpur",,Uttar Pradesh,2021,10988,4,13855,4,18515,3
"UNS AUTONOMOUS STATE MEDICAL COLLEGES, Jaunpur",,Uttar Pradesh,2021,12592,6,14866,6,19034,3
Diamond Harbour Govt Medical College,,West Bengal,2019,10520,6,12870,6,17131,2
